INFO 2024-07-26 12:40:45,516 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/urllib/parse.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/string.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1721904967.5444067
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/json/decoder.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/db/models/constants.py first seen with mtime 1721904967.9604206
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/base64.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1721904967.3684006
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/asyncio/exceptions.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/genericpath.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/checks/security/csrf.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/template/loaders/__init__.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/asyncio/subprocess.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/pathlib.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/datetime.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/tree.py first seen with mtime 1721904967.9924216
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/asyncio/threads.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/views/generic/dates.py first seen with mtime 1721904967.9964218
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/conf/global_settings.py first seen with mtime 1721904967.468404
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/dotenv/parser.py first seen with mtime 1721992213.2333095
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/email/charset.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/template/smartif.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/templatetags/i18n.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,664 autoreload File /usr/lib/python3.10/asyncio/__init__.py first seen with mtime 1711126205.0
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/utils/choices.py first seen with mtime 1721904967.9884214
DEBUG 2024-07-26 12:40:45,664 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1721904967.94442
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/files/storage/base.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/validators.py first seen with mtime 1721904967.9284196
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1721904967.9484203
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/core/files/images.py first seen with mtime 1721904967.9324195
DEBUG 2024-07-26 12:40:45,665 autoreload File /home/groot/Projects/BankProject/env/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1721904967.9844215
DEBUG 2024-07-26 12:40:45,665 autoreload File /usr/lib/python3.10/asyncio/staggered.py first seen with mtime 1711126205.0
